product_key;product_id;product_number;product_name;product_cost;product_line;category_id;category;subcategory;maintenance;start_date
233;467;GL-H102-L;Half-Finger Gloves- L;9;Other sales;CL_GL;Clothing;Gloves;No;2013-07-01
234;465;GL-H102-M;Half-Finger Gloves- M;9;Other sales;CL_GL;Clothing;Gloves;No;2013-07-01
235;463;GL-H102-S;Half-Finger Gloves- S;9;Other sales;CL_GL;Clothing;Gloves;No;2013-07-01
236;398;HB-M243;LL Mountain Handlebars;20;Mountain;CO_HB;Components;Handlebars;No;2013-07-01
237;400;HB-M763;ML Mountain Handlebars;27;Mountain;CO_HB;Components;Handlebars;No;2013-07-01
238;402;HB-M918;HL Mountain Handlebars;53;Mountain;CO_HB;Components;Handlebars;No;2013-07-01
239;404;HB-R504;LL Road Handlebars;20;Road;CO_HB;Components;Handlebars;No;2013-07-01
240;406;HB-R720;ML Road Handlebars;27;Road;CO_HB;Components;Handlebars;No;2013-07-01
241;408;HB-R956;HL Road Handlebars;53;Road;CO_HB;Components;Handlebars;No;2013-07-01
242;553;HB-T721;LL Touring Handlebars;20;Touring;CO_HB;Components;Handlebars;No;2013-07-01
243;554;HB-T928;HL Touring Handlebars;41;Touring;CO_HB;Components;Handlebars;No;2013-07-01
244;217;HL-U509;Sport-100 Helmet- Black;13;Other sales;AC_HE;Accessories;Helmets;Yes;2013-07-01
245;222;HL-U509-B;Sport-100 Helmet- Blue;13;Other sales;AC_HE;Accessories;Helmets;Yes;2013-07-01
246;214;HL-U509-R;Sport-100 Helmet- Red;13;Other sales;AC_HE;Accessories;Helmets;Yes;2013-07-01
247;487;HY-1023-70;Hydration Pack - 70 oz.;21;Other sales;AC_HP;Accessories;Hydration Packs;No;2013-07-01
248;234;LJ-0192-L;Long-Sleeve Logo Jersey- L;38;Other sales;CL_JE;Clothing;Jerseys;No;2013-07-01
249;231;LJ-0192-M;Long-Sleeve Logo Jersey- M;38;Other sales;CL_JE;Clothing;Jerseys;No;2013-07-01
250;228;LJ-0192-S;Long-Sleeve Logo Jersey- S;38;Other sales;CL_JE;Clothing;Jerseys;No;2013-07-01
251;237;LJ-0192-X;Long-Sleeve Logo Jersey- XL;38;Other sales;CL_JE;Clothing;Jerseys;No;2013-07-01
252;542;PD-M282;LL Mountain Pedal;18;Mountain;CO_PE;NULL;NULL;NULL;2013-07-01
253;543;PD-M340;ML Mountain Pedal;28;Mountain;CO_PE;NULL;NULL;NULL;2013-07-01
254;544;PD-M562;HL Mountain Pedal;36;Mountain;CO_PE;NULL;NULL;NULL;2013-07-01
255;545;PD-R347;LL Road Pedal;18;Road;CO_PE;NULL;NULL;NULL;2013-07-01
256;546;PD-R563;ML Road Pedal;28;Road;CO_PE;NULL;NULL;NULL;2013-07-01
257;547;PD-R853;HL Road Pedal;36;Road;CO_PE;NULL;NULL;NULL;2013-07-01
258;548;PD-T852;Touring Pedal;36;Touring;CO_PE;NULL;NULL;NULL;2013-07-01
259;480;PK-7098;Patch Kit/8 Patches;1;Other sales;AC_TT;Accessories;Tires and Tubes;Yes;2013-07-01
260;483;RA-H123;Hitch Rack - 4-Bike;45;Other sales;AC_BR;Accessories;Bike Racks;Yes;2013-07-01
261;514;RB-9231;Rear Brakes;47;n/a;CO_BR;Components;Brakes;Yes;2013-07-01
262;501;RD-2308;Rear Derailleur;54;n/a;CO_DE;Components;Derailleurs;Yes;2013-07-01
263;515;SE-M236;LL Mountain Seat/Saddle;12;Mountain;CO_SA;Components;Saddles;No;2013-07-01
264;516;SE-M798;ML Mountain Seat/Saddle;17;Mountain;CO_SA;Components;Saddles;No;2013-07-01
265;517;SE-M940;HL Mountain Seat/Saddle;23;Mountain;CO_SA;Components;Saddles;No;2013-07-01
266;518;SE-R581;LL Road Seat/Saddle;12;Road;CO_SA;Components;Saddles;No;2013-07-01
267;519;SE-R908;ML Road Seat/Saddle;17;Touring;CO_SA;Components;Saddles;No;2013-07-01
268;520;SE-R995;HL Road Seat/Saddle;23;Road;CO_SA;Components;Saddles;No;2013-07-01
269;521;SE-T312;LL Touring Seat/Saddle;12;Touring;CO_SA;Components;Saddles;No;2013-07-01
270;522;SE-T762;ML Touring Seat/Saddle;17;Touring;CO_SA;Components;Saddles;No;2013-07-01
271;523;SE-T924;HL Touring Seat/Saddle;23;Touring;CO_SA;Components;Saddles;No;2013-07-01
272;476;SH-W890-L;Women's Mountain Shorts- L;26;Mountain;CL_SH;Clothing;Shorts;No;2013-07-01
273;475;SH-W890-M;Women's Mountain Shorts- M;26;Mountain;CL_SH;Clothing;Shorts;No;2013-07-01
274;474;SH-W890-S;Women's Mountain Shorts- S;26;Mountain;CL_SH;Clothing;Shorts;No;2013-07-01
275;490;SJ-0194-L;Short-Sleeve Classic Jersey- L;42;Other sales;CL_JE;Clothing;Jerseys;No;2013-07-01
276;489;SJ-0194-M;Short-Sleeve Classic Jersey- M;42;Other sales;CL_JE;Clothing;Jerseys;No;2013-07-01
277;488;SJ-0194-S;Short-Sleeve Classic Jersey- S;42;Other sales;CL_JE;Clothing;Jerseys;No;2013-07-01
278;491;SJ-0194-X;Short-Sleeve Classic Jersey- XL;42;Other sales;CL_JE;Clothing;Jerseys;No;2013-07-01
279;482;SO-R809-L;Racing Socks- L;3;Road;CL_SO;Clothing;Socks;No;2013-07-01
280;481;SO-R809-M;Racing Socks- M;3;Road;CL_SO;Clothing;Socks;No;2013-07-01
281;486;ST-1401;All-Purpose Bike Stand;59;Mountain;AC_BS;Accessories;Bike Stands;No;2013-07-01
282;535;TI-M267;LL Mountain Tire;9;Mountain;AC_TT;Accessories;Tires and Tubes;Yes;2013-07-01
283;536;TI-M602;ML Mountain Tire;11;Mountain;AC_TT;Accessories;Tires and Tubes;Yes;2013-07-01
284;537;TI-M823;HL Mountain Tire;13;Mountain;AC_TT;Accessories;Tires and Tubes;Yes;2013-07-01
285;538;TI-R092;LL Road Tire;8;Road;AC_TT;Accessories;Tires and Tubes;Yes;2013-07-01
286;539;TI-R628;ML Road Tire;9;Road;AC_TT;Accessories;Tires and Tubes;Yes;2013-07-01
287;540;TI-R982;HL Road Tire;12;Road;AC_TT;Accessories;Tires and Tubes;Yes;2013-07-01
288;541;TI-T723;Touring Tire;11;Touring;AC_TT;Accessories;Tires and Tubes;Yes;2013-07-01
289;528;TT-M928;Mountain Tire Tube;2;Mountain;AC_TT;Accessories;Tires and Tubes;Yes;2013-07-01
290;529;TT-R982;Road Tire Tube;1;Road;AC_TT;Accessories;Tires and Tubes;Yes;2013-07-01
291;530;TT-T092;Touring Tire Tube;2;Touring;AC_TT;Accessories;Tires and Tubes;Yes;2013-07-01
292;473;VE-C304-L;Classic Vest- L;24;Other sales;CL_VE;Clothing;Vests;No;2013-07-01
293;472;VE-C304-M;Classic Vest- M;24;Other sales;CL_VE;Clothing;Vests;No;2013-07-01
294;471;VE-C304-S;Classic Vest- S;24;Other sales;CL_VE;Clothing;Vests;No;2013-07-01
295;477;WB-H098;Water Bottle - 30 oz.;2;Other sales;AC_BC;Accessories;Bottles and Cages;No;2013-07-01
